Project ID,Sr No.,Item Name,Item Category,Quantity,UOM,Rate ($),Amount ($),Weight (kg),Month,Year,Company Name,City,Country
AG-FEB26,390,Silicon,Furnace Material,200.0,kg, $2.00 ,357.0,2000.0,February,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,391,Container Freight,L&T,1.0,No.," $7,857.00 ",7857.0,10.0,February,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,392,Pully 4 inch 3 belt 38 mm bore,Mechanical,250.0,No., $4.00 ,893.0,2500.0,February,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,393,Pully 4 inch 3 belt 42 mm bore,Mechanical,250.0,No., $4.00 ,893.0,2500.0,February,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,394,Pully 4 inch 3 belt 48 mm bore,Mechanical,500.0,No., $4.00 ,1786.0,5000.0,February,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,395,Ferro Manganese ,Furnace Material,200.0,kg, $2.00 ,357.0,2000.0,January,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,396,Linning Powder,Furnace Material,5.0,Ton, $89.00 ,446.0,50.0,January,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,397,Workshop Tools Accessories,Raw Material,1.0,No., $357.00 ,357.0,10.0,January,2026,PakArab Steel Factory,Khartoum,Sudan
AG-JUN26,398,Abdul Rehman FM,Account,1.0,No., $7.00 ,7.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,399,Iqbal S/G Adv,Account,1.0,No., $18.00 ,18.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,400,Kashif Account,Account,1.0,No., $71.00 ,71.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,401,Kashif Account,Account,1.0,No., $68.00 ,68.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,402,PakTherm Amount,Account,1.0,No.," $3,571.00 ",3571.0,10.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,403,Rent,Account,1.0,No.," $1,607.00 ",1607.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,404,Sagheer Bill,Account,1.0,No., $63.00 ,63.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,405,Shed Balance Amount,Account,1.0,No., $893.00 ,893.0,10.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,406,Yousaf FM,Account,1.0,No., $21.00 ,21.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,407,Yousaf FM,Account,1.0,No., $18.00 ,18.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,408,Flexible Cable (70 mm),Cable,70.0,meter, $11.00 ,750.0,70.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,409,Bentonide Powder,Furnace Material,500.0,kg, $-   ,41.0,500.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,410,Coil Cot Powder,Furnace Material,500.0,kg, $-   ,75.0,500.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,411,Ferro Manganese ,Furnace Material,500.0,kg, $2.00 ,893.0,500.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,412,Graphite Powder,Furnace Material,5.0,Bag, $28.00 ,138.0,125.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,413,Linning Powder,Furnace Material,1.0,Ton, $446.00 ,446.0,50.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,414,Tyre Repairing,L&T,1.0,No., $11.00 ,11.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,415,Petrol,L&T,1.0,No., $46.00 ,46.0,20.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,416,Petrol,L&T,1.0,No., $41.00 ,41.0,20.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,417,Petrol,L&T,1.0,No., $36.00 ,36.0,20.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,418,Petrol,L&T,1.0,No., $37.00 ,37.0,20.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,419,Petrol,L&T,1.0,No., $29.00 ,29.0,20.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,420,Tyre Repairing,L&T,4.0,No., $45.00 ,179.0,10.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,421,Chiller Water Cooler,Mechanical,1.0,No., $214.00 ,214.0,120.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,422,Hydraulic Oil,Mechanical,1.0,No., $214.00 ,214.0,20.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
DS-JUN26,423,Motorcycle Brake Shoe Scrap,Mechanical,100.0,kg, $2.00 ,179.0,100.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,424,Scrap Trolley,Mechanical,5.0,No., $36.00 ,179.0,400.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,425,"Water Bore (3"" )",Mechanical,2.0,No., $893.00 ,1786.0,300.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,426,Water Drain Bore with Civil Works,Mechanical,1.0,No., $357.00 ,357.0,500.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
DS-JUN26,427,Water Tank (500 Gallon),Mechanical,4.0,No., $107.00 ,429.0,320.0,June,2026,Dynamic Steels,Sheikhupura,Pakistan
AG-JUN26,428,TDS Meter,Meter,1.0,No., $3.00 ,3.0,0.5,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,429,Alam,Raw Material,1.0,No., $7.00 ,7.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
AG-JUN26,430,ATTO 88,Raw Material,1.0,No.," $3,571.00 ",3571.0,10.0,June,2026,Ali Global Trading Company,Lahore,Pakistan
